,num_rows,num_cols,missing_values_percent,avg_price,median_price,room_types
Entire home/apt,33228,79,,165.77759720717467,132.0,25739.0
Hotel room,33228,79,,165.77759720717467,132.0,204.0
Private room,33228,79,,165.77759720717467,132.0,7209.0
Shared room,33228,79,,165.77759720717467,132.0,76.0
calendar_updated,33228,79,1.0,165.77759720717467,132.0,
host_about,33228,79,0.5327434693631877,165.77759720717467,132.0,
host_location,33228,79,0.2573131094257855,165.77759720717467,132.0,
host_neighbourhood,33228,79,0.6834898278560251,165.77759720717467,132.0,
host_response_rate,33228,79,0.1408149753220176,165.77759720717467,132.0,
host_response_time,33228,79,0.1408149753220176,165.77759720717467,132.0,
neighborhood_overview,33228,79,0.5270254002648369,165.77759720717467,132.0,
neighbourhood,33228,79,0.5270254002648369,165.77759720717467,132.0,
neighbourhood_group_cleansed,33228,79,1.0,165.77759720717467,132.0,
review_scores_checkin,33228,79,0.1261887564704466,165.77759720717467,132.0,
